PassengerId,Survived,Pclass,Sex,Age,Fare,Cabin
337,0,1,1,29,66.6,3
342,1,1,0,24,263,3
352,0,1,1,,35,3
378,0,1,1,27,211.5,3
413,1,1,0,33,90,3
431,1,1,1,28,26.55,3
439,0,1,1,64,263,3
450,1,1,1,52,30.5,3
453,0,1,1,30,27.75,3
454,1,1,1,49,89.1042,3
487,1,1,0,35,90,3
493,0,1,1,55,30.5,3
499,0,1,0,25,151.55,3
506,0,1,1,18,108.9,3
528,0,1,1,,221.7792,3
545,0,1,1,50,106.425,3
551,1,1,1,17,110.8833,3
572,1,1,0,53,51.4792,3
582,1,1,0,39,110.8833,3
610,1,1,0,40,153.4625,3
670,1,1,0,,52,3
699,0,1,1,49,110.8833,3
701,1,1,0,18,227.525,3
711,1,1,0,24,49.5042,3
712,0,1,1,,26.55,3
713,1,1,1,48,52,3
717,1,1,0,38,227.525,3
742,0,1,1,36,78.85,3
840,1,1,1,,29.7,3
850,1,1,0,,89.1042,3
880,1,1,0,56,83.1583,3
890,1,1,1,26,30,3
31,0,1,1,40,27.7208,3.01
35,0,1,1,28,82.1708,3.01
36,0,1,1,42,52,3.01
65,0,1,1,,27.7208,3.01
84,0,1,1,28,47.1,3.01
156,0,1,1,51,61.3792,3.01
169,0,1,1,,25.925,3.01
188,1,1,1,45,26.55,3.01
257,1,1,0,,79.2,3.01
259,1,1,0,35,512.3292,3.01
271,0,1,1,,31,3.01
291,1,1,0,26,78.85,3.01
296,0,1,1,,27.7208,3.01
307,1,1,0,,110.8833,3.01
335,1,1,0,,133.65,3.01
374,0,1,1,22,135.6333,3.01
376,1,1,0,,82.1708,3.01
381,1,1,0,42,227.525,3.01
384,1,1,0,35,52,3.01
448,1,1,1,34,26.55,3.01
468,0,1,1,56,26.55,3.01
494,0,1,1,71,49.5042,3.01
508,1,1,1,,26.55,3.01
514,1,1,0,54,59.4,3.01
538,1,1,0,30,106.425,3.01
546,0,1,1,64,26,3.01
556,0,1,1,62,26.55,3.01
558,0,1,1,,227.525,3.01
603,0,1,1,,42.4,3.01
605,1,1,1,35,26.55,3.01
608,1,1,1,27,30.5,3.01
634,0,1,1,,0,3.01
661,1,1,1,50,133.65,3.01
695,0,1,1,60,26.55,3.01
709,1,1,0,22,151.55,3.01
767,0,1,1,,39.6,3.01
794,0,1,1,,30.6958,3.01
823,0,1,1,38,0,3.01
843,1,1,0,30,31,3.01
857,1,1,0,45,164.8667,3.01
340,0,1,1,45,35.5,3.01
53,1,1,0,49,76.7292,4
98,1,1,1,23,63.3583,4
103,0,1,1,21,77.2875,4
125,0,1,1,54,77.2875,4
137,1,1,0,19,26.2833,4
216,1,1,0,31,113.275,4
219,1,1,0,32,76.2917,4
249,1,1,1,37,52.5542,4
276,1,1,0,63,77.9583,4
367,1,1,0,60,75.25,4
394,1,1,0,23,113.275,4
458,1,1,0,,51.8625,4
497,1,1,0,54,78.2667,4
516,0,1,1,47,34.0208,4
592,1,1,0,52,78.2667,4
622,1,1,1,42,52.5542,4
626,0,1,1,61,32.3208,4
628,1,1,0,21,77.9583,4
646,1,1,1,48,76.7292,4
660,0,1,1,58,113.275,4
682,1,1,1,27,76.7292,4
741,1,1,1,,30,4
749,0,1,1,19,53.1,4
766,1,1,0,51,77.9583,4
783,0,1,1,29,30,4
797,1,1,0,49,25.9292,4
854,1,1,0,16,39.4,4
863,1,1,0,48,25.9292,4
872,1,1,0,47,52.5542,4
7,0,1,1,54,51.8625,5
93,0,1,1,46,61.175,5
167,1,1,0,,55,5
263,0,1,1,52,79.65,5
310,1,1,0,30,56.9292,5
320,1,1,0,40,134.5,5
338,1,1,0,41,134.5,5
357,1,1,0,22,55,5
371,1,1,1,25,55.4417,5
435,0,1,1,50,55.9,5
457,0,1,1,65,26.55,5
461,1,1,1,48,26.55,5
463,0,1,1,47,38.5,5
513,1,1,1,36,26.2875,5
559,1,1,0,39,79.65,5
573,1,1,1,36,26.3875,5
578,1,1,0,39,55.9,5
586,1,1,0,18,79.65,5
663,0,1,1,47,25.5875,5
702,1,1,1,35,26.2875,5
708,1,1,1,42,26.2875,5
725,1,1,1,27,53.1,5
810,1,1,0,33,53.1,5
836,1,1,0,39,83.1583,5
858,1,1,1,51,26.55,5
10,1,2,0,14,30.0708,5.25
16,1,2,0,55,16,5.25
18,1,2,1,,13,5.25
21,0,2,1,35,26,5.25
34,0,2,1,66,10.5,5.25
42,0,2,0,27,21,5.25
44,1,2,0,3,41.5792,5.25
54,1,2,0,29,26,5.25
57,1,2,0,21,10.5,5.25
59,1,2,0,5,27.75,5.25
71,0,2,1,32,10.5,5.25
73,0,2,1,21,73.5,5.25
79,1,2,1,0.83,29,5.25
85,1,2,0,17,10.5,5.25
99,1,2,0,34,23,5.25
100,0,2,1,34,26,5.25
118,0,2,1,29,21,5.25
121,0,2,1,21,73.5,5.25
123,0,2,1,32.5,30.0708,5.25
134,1,2,0,29,26,5.25
135,0,2,1,25,13,5.25
136,0,2,1,23,15.0458,5.25
145,0,2,1,18,11.5,5.25
146,0,2,1,19,36.75,5.25
150,0,2,1,42,13,5.25
151,0,2,1,51,12.525,5.25
162,1,2,0,40,15.75,5.25
179,0,2,1,30,13,5.25
182,0,2,1,,15.05,5.25
191,1,2,0,32,13,5.25
192,0,2,1,19,13,5.25
200,0,2,0,24,13,5.25
212,1,2,0,35,21,5.25
214,0,2,1,30,13,5.25
218,0,2,1,42,27,5.25
220,0,2,1,30,10.5,5.25
222,0,2,1,27,13,5.25
227,1,2,1,19,10.5,5.25
229,0,2,1,18,13,5.25
233,0,2,1,59,13.5,5.25
235,0,2,1,24,10.5,5.25
237,0,2,1,44,26,5.25
238,1,2,0,8,26.25,5.25
239,0,2,1,19,10.5,5.25
240,0,2,1,33,12.275,5.25
243,0,2,1,29,10.5,5.25
248,1,2,0,24,14.5,5.25
250,0,2,1,54,26,5.25
260,1,2,0,50,26,5.25
266,0,2,1,36,10.5,5.25
273,1,2,0,41,19.5,5.25
278,0,2,1,,0,5.25
289,1,2,1,42,13,5.25
309,0,2,1,30,24,5.25
313,0,2,0,26,26,5.25
315,0,2,1,43,26.25,5.25
317,1,2,0,24,26,5.25
318,0,2,1,54,14,5.25
323,1,2,0,30,12.35,5.25
324,1,2,0,22,29,5.25
343,0,2,1,28,13,5.25
344,0,2,1,25,13,5.25
345,0,2,1,36,13,5.25
347,1,2,0,40,13,5.25
358,0,2,0,38,13,5.25
362,0,2,1,29,27.7208,5.25
386,0,2,1,18,73.5,5.25
388,1,2,0,36,13,5.25
390,1,2,0,17,12,5.25
398,0,2,1,46,26,5.25
399,0,2,1,23,10.5,5.25
400,1,2,0,28,12.65,5.25
406,0,2,1,34,21,5.25
408,1,2,1,3,18.75,5.25
414,0,2,1,,0,5.25
417,1,2,0,34,32.5,5.25
418,1,2,0,18,13,5.25
419,0,2,1,30,13,5.25
427,1,2,0,28,26,5.25
428,1,2,0,19,26,5.25
433,1,2,0,42,26,5.25
438,1,2,0,24,18.75,5.25
440,0,2,1,31,10.5,5.25
441,1,2,0,45,26.25,5.25
444,1,2,0,28,13,5.25
447,1,2,0,13,19.5,5.25
451,0,2,1,36,27.75,5.25
459,1,2,0,50,10.5,5.25
464,0,2,1,48,13,5.25
467,0,2,1,,0,5.25
473,1,2,0,33,27.75,5.25
477,0,2,1,34,21,5.25
482,0,2,1,,0,5.25
507,1,2,0,33,26,5.25
519,1,2,0,36,26,5.25
527,1,2,0,50,10.5,5.25
530,0,2,1,23,11.5,5.25
531,1,2,0,2,26,5.25
536,1,2,0,7,26.25,5.25
544,1,2,1,32,26,5.25
547,1,2,0,19,26,5.25
548,1,2,1,,13.8625,5.25
550,1,2,1,8,36.75,5.25
552,0,2,1,27,26,5.25
563,0,2,1,28,13.5,5.25
571,1,2,1,62,10.5,5.25
577,1,2,0,34,13,5.25
581,1,2,0,25,30,5.25
583,0,2,1,54,26,5.25
587,0,2,1,47,15,5.25
595,0,2,1,37,26,5.25
597,1,2,0,,33,5.25
601,1,2,0,24,27,5.25
609,1,2,0,22,41.5792,5.25
616,1,2,0,24,65,5.25
620,0,2,1,26,10.5,5.25
627,0,2,1,57,12.35,5.25
636,1,2,0,28,13,5.25
638,0,2,1,31,26.25,5.25
652,1,2,0,18,23,5.25
656,0,2,1,24,73.5,5.25
659,0,2,1,23,13,5.25
666,0,2,1,32,73.5,5.25
667,0,2,1,25,13,5.25
671,1,2,0,40,39,5.25
673,0,2,1,70,10.5,5.25
674,1,2,1,31,13,5.25
675,0,2,1,,0,5.25
685,0,2,1,60,39,5.25
686,0,2,1,25,41.5792,5.25
696,0,2,1,52,13.5,5.25
706,0,2,1,39,26,5.25
707,1,2,0,45,13.5,5.25
715,0,2,1,52,13,5.25
721,1,2,0,6,33,5.25
723,0,2,1,34,13,5.25
724,0,2,1,50,13,5.25
727,1,2,0,30,21,5.25
729,0,2,1,25,26,5.25
733,0,2,1,,0,5.25
734,0,2,1,23,13,5.25
735,0,2,1,23,13,5.25
748,1,2,0,30,13,5.25
751,1,2,0,4,23,5.25
755,1,2,0,48,65,5.25
756,1,2,1,0.67,14.5,5.25
758,0,2,1,18,11.5,5.25
775,1,2,0,54,23,5.25
792,0,2,1,16,26,5.25
796,0,2,1,39,13,5.25
801,0,2,1,34,13,5.25
802,1,2,0,31,26.25,5.25
809,0,2,1,39,13,5.25
813,0,2,1,35,10.5,5.25
818,0,2,1,31,37.0042,5.25
828,1,2,1,1,37.0042,5.25
832,1,2,1,0.83,18.75,5.25
842,0,2,1,16,10.5,5.25
849,0,2,1,28,33,5.25
855,0,2,0,44,26,5.25
862,0,2,1,21,11.5,5.25
865,0,2,1,24,13,5.25
866,1,2,0,42,13,5.25
867,1,2,0,27,13.8583,5.25
875,1,2,0,28,24,5.25
881,1,2,0,25,26,5.25
884,0,2,1,28,10.5,5.25
887,0,2,1,27,13,5.25
22,1,2,1,34,13,4
293,0,2,1,36,12.875,4
328,1,2,0,36,13,4
474,1,2,0,23,13.7917,4
124,1,2,0,32.5,13,5
304,1,2,0,,12.35,5
718,1,2,0,27,10.5,5
773,0,2,0,57,10.5,5
67,1,2,0,29,10.5,6
149,0,2,1,36.5,26,6
184,1,2,1,1,39,6
194,1,2,1,3,26,6
341,1,2,1,2,26,6
346,1,2,0,24,13,6
517,1,2,0,34,10.5,6
619,1,2,0,4,39,6
1,0,3,1,22,7.25,6.08
3,1,3,0,26,7.925,6.08
5,0,3,1,35,8.05,6.08
6,0,3,1,,8.4583,6.08
8,0,3,1,2,21.075,6.08
9,1,3,0,27,11.1333,6.08
13,0,3,1,20,8.05,6.08
14,0,3,1,39,31.275,6.08
15,0,3,0,14,7.8542,6.08
17,0,3,1,2,29.125,6.08
19,0,3,0,31,18,6.08
20,1,3,0,,7.225,6.08
23,1,3,0,15,8.0292,6.08
25,0,3,0,8,21.075,6.08
26,1,3,0,38,31.3875,6.08
27,0,3,1,,7.225,6.08
29,1,3,0,,7.8792,6.08
30,0,3,1,,7.8958,6.08
33,1,3,0,,7.75,6.08
37,1,3,1,,7.2292,6.08
38,0,3,1,21,8.05,6.08
39,0,3,0,18,18,6.08
40,1,3,0,14,11.2417,6.08
41,0,3,0,40,9.475,6.08
43,0,3,1,,7.8958,6.08
45,1,3,0,19,7.8792,6.08
46,0,3,1,,8.05,6.08
47,0,3,1,,15.5,6.08
48,1,3,0,,7.75,6.08
49,0,3,1,,21.6792,6.08
50,0,3,0,18,17.8,6.08
51,0,3,1,7,39.6875,6.08
52,0,3,1,21,7.8,6.08
58,0,3,1,28.5,7.2292,6.08
60,0,3,1,11,46.9,6.08
61,0,3,1,22,7.2292,6.08
64,0,3,1,4,27.9,6.08
66,1,3,1,,15.2458,6.08
68,0,3,1,19,8.1583,6.08
69,1,3,0,17,7.925,6.08
70,0,3,1,26,8.6625,6.08
72,0,3,0,16,46.9,6.08
74,0,3,1,26,14.4542,6.08
75,1,3,1,32,56.4958,6.08
77,0,3,1,,7.8958,6.08
78,0,3,1,,8.05,6.08
80,1,3,0,30,12.475,6.08
81,0,3,1,22,9,6.08
82,1,3,1,29,9.5,6.08
83,1,3,0,,7.7875,6.08
86,1,3,0,33,15.85,6.08
87,0,3,1,16,34.375,6.08
88,0,3,1,,8.05,6.08
90,0,3,1,24,8.05,6.08
91,0,3,1,29,8.05,6.08
92,0,3,1,20,7.8542,6.08
94,0,3,1,26,20.575,6.08
95,0,3,1,59,7.25,6.08
96,0,3,1,,8.05,6.08
101,0,3,0,28,7.8958,6.08
102,0,3,1,,7.8958,6.08
104,0,3,1,33,8.6542,6.08
105,0,3,1,37,7.925,6.08
106,0,3,1,28,7.8958,6.08
107,1,3,0,21,7.65,6.08
108,1,3,1,,7.775,6.08
109,0,3,1,38,7.8958,6.08
110,1,3,0,,24.15,6.08
112,0,3,0,14.5,14.4542,6.08
113,0,3,1,22,8.05,6.08
114,0,3,0,20,9.825,6.08
115,0,3,0,17,14.4583,6.08
116,0,3,1,21,7.925,6.08
117,0,3,1,70.5,7.75,6.08
120,0,3,0,2,31.275,6.08
122,0,3,1,,8.05,6.08
126,1,3,1,12,11.2417,6.08
127,0,3,1,,7.75,6.08
128,1,3,1,24,7.1417,6.08
130,0,3,1,45,6.975,6.08
131,0,3,1,33,7.8958,6.08
132,0,3,1,20,7.05,6.08
133,0,3,0,47,14.5,6.08
139,0,3,1,16,9.2167,6.08
141,0,3,0,,15.2458,6.08
142,1,3,0,22,7.75,6.08
143,1,3,0,24,15.85,6.08
144,0,3,1,19,6.75,6.08
147,1,3,1,27,7.7958,6.08
148,0,3,0,9,34.375,6.08
153,0,3,1,55.5,8.05,6.08
154,0,3,1,40.5,14.5,6.08
155,0,3,1,,7.3125,6.08
157,1,3,0,16,7.7333,6.08
158,0,3,1,30,8.05,6.08
159,0,3,1,,8.6625,6.08
160,0,3,1,,69.55,6.08
161,0,3,1,44,16.1,6.08
163,0,3,1,26,7.775,6.08
164,0,3,1,17,8.6625,6.08
165,0,3,1,1,39.6875,6.08
166,1,3,1,9,20.525,6.08
168,0,3,0,45,27.9,6.08
170,0,3,1,28,56.4958,6.08
172,0,3,1,4,29.125,6.08
173,1,3,0,1,11.1333,6.08
174,0,3,1,21,7.925,6.08
176,0,3,1,18,7.8542,6.08
177,0,3,1,,25.4667,6.08
180,0,3,1,36,0,6.08
181,0,3,0,,69.55,6.08
183,0,3,1,9,31.3875,6.08
185,1,3,0,4,22.025,6.08
187,1,3,0,,15.5,6.08
189,0,3,1,40,15.5,6.08
190,0,3,1,36,7.8958,6.08
193,1,3,0,19,7.8542,6.08
197,0,3,1,,7.75,6.08
198,0,3,1,42,8.4042,6.08
199,1,3,0,,7.75,6.08
201,0,3,1,28,9.5,6.08
202,0,3,1,,69.55,6.08
203,0,3,1,34,6.4958,6.08
204,0,3,1,45.5,7.225,6.08
205,1,3,1,18,8.05,6.08
207,0,3,1,32,15.85,6.08
208,1,3,1,26,18.7875,6.08
209,1,3,0,16,7.75,6.08
211,0,3,1,24,7.05,6.08
213,0,3,1,22,7.25,6.08
215,0,3,1,,7.75,6.08
217,1,3,0,27,7.925,6.08
221,1,3,1,16,8.05,6.08
223,0,3,1,51,8.05,6.08
224,0,3,1,,7.8958,6.08
226,0,3,1,22,9.35,6.08
228,0,3,1,20.5,7.25,6.08
230,0,3,0,,25.4667,6.08
232,0,3,1,29,7.775,6.08
234,1,3,0,5,31.3875,6.08
236,0,3,0,,7.55,6.08
241,0,3,0,,14.4542,6.08
242,1,3,0,,15.5,6.08
244,0,3,1,22,7.125,6.08
245,0,3,1,30,7.225,6.08
247,0,3,0,25,7.775,6.08
251,0,3,1,,7.25,6.08
254,0,3,1,30,16.1,6.08
255,0,3,0,41,20.2125,6.08
256,1,3,0,29,15.2458,6.08
261,0,3,1,,7.75,6.08
262,1,3,1,3,31.3875,6.08
265,0,3,0,,7.75,6.08
267,0,3,1,16,39.6875,6.08
268,1,3,1,25,7.775,6.08
272,1,3,1,25,0,6.08
275,1,3,0,,7.75,6.08
277,0,3,0,45,7.75,6.08
279,0,3,1,7,29.125,6.08
280,1,3,0,35,20.25,6.08
281,0,3,1,65,7.75,6.08
282,0,3,1,28,7.8542,6.08
283,0,3,1,16,9.5,6.08
284,1,3,1,19,8.05,6.08
286,0,3,1,33,8.6625,6.08
287,1,3,1,30,9.5,6.08
288,0,3,1,22,7.8958,6.08
290,1,3,0,22,7.75,6.08
294,0,3,0,24,8.85,6.08
295,0,3,1,24,7.8958,6.08
297,0,3,1,23.5,7.2292,6.08
301,1,3,0,,7.75,6.08
302,1,3,1,,23.25,6.08
303,0,3,1,19,0,6.08
305,0,3,1,,8.05,6.08
314,0,3,1,28,7.8958,6.08
316,1,3,0,26,7.8542,6.08
321,0,3,1,22,7.25,6.08
322,0,3,1,27,7.8958,6.08
325,0,3,1,,69.55,6.08
327,0,3,1,61,6.2375,6.08
329,1,3,0,31,20.525,6.08
331,1,3,0,,23.25,6.08
334,0,3,1,16,18,6.08
336,0,3,1,,7.8958,6.08
339,1,3,1,45,8.05,6.08
348,1,3,0,,16.1,6.08
349,1,3,1,3,15.9,6.08
350,0,3,1,42,8.6625,6.08
351,0,3,1,23,9.225,6.08
353,0,3,1,15,7.2292,6.08
354,0,3,1,25,17.8,6.08
355,0,3,1,,7.225,6.08
356,0,3,1,28,9.5,6.08
359,1,3,0,,7.8792,6.08
360,1,3,0,,7.8792,6.08
361,0,3,1,40,27.9,6.08
363,0,3,0,45,14.4542,6.08
364,0,3,1,35,7.05,6.08
365,0,3,1,,15.5,6.08
366,0,3,1,30,7.25,6.08
368,1,3,0,,7.2292,6.08
369,1,3,0,,7.75,6.08
372,0,3,1,18,6.4958,6.08
373,0,3,1,19,8.05,6.08
375,0,3,0,3,21.075,6.08
377,1,3,0,22,7.25,6.08
379,0,3,1,20,4.0125,6.08
380,0,3,1,19,7.775,6.08
382,1,3,0,1,15.7417,6.08
383,0,3,1,32,7.925,6.08
385,0,3,1,,7.8958,6.08
387,0,3,1,1,46.9,6.08
389,0,3,1,,7.7292,6.08
392,1,3,1,21,7.7958,6.08
393,0,3,1,28,7.925,6.08
396,0,3,1,22,7.7958,6.08
397,0,3,0,31,7.8542,6.08
401,1,3,1,39,7.925,6.08
402,0,3,1,26,8.05,6.08
403,0,3,0,21,9.825,6.08
404,0,3,1,28,15.85,6.08
405,0,3,0,20,8.6625,6.08
407,0,3,1,51,7.75,6.08
409,0,3,1,21,7.775,6.08
410,0,3,0,,25.4667,6.08
411,0,3,1,,7.8958,6.08
412,0,3,1,,6.8583,6.08
415,1,3,1,44,7.925,6.08
416,0,3,0,,8.05,6.08
420,0,3,0,10,24.15,6.08
421,0,3,1,,7.8958,6.08
422,0,3,1,21,7.7333,6.08
423,0,3,1,29,7.875,6.08
424,0,3,0,28,14.4,6.08
425,0,3,1,18,20.2125,6.08
426,0,3,1,,7.25,6.08
429,0,3,1,,7.75,6.08
432,1,3,0,,16.1,6.08
434,0,3,1,17,7.125,6.08
437,0,3,0,21,34.375,6.08
442,0,3,1,20,9.5,6.08
443,0,3,1,25,7.775,6.08
445,1,3,1,,8.1125,6.08
449,1,3,0,5,19.2583,6.08
452,0,3,1,,19.9667,6.08
455,0,3,1,,8.05,6.08
456,1,3,1,29,7.8958,6.08
460,0,3,1,,7.75,6.08
462,0,3,1,34,8.05,6.08
465,0,3,1,,8.05,6.08
466,0,3,1,38,7.05,6.08
469,0,3,1,,7.725,6.08
470,1,3,0,0.75,19.2583,6.08
471,0,3,1,,7.25,6.08
472,0,3,1,38,8.6625,6.08
475,0,3,0,22,9.8375,6.08
478,0,3,1,29,7.0458,6.08
479,0,3,1,22,7.5208,6.08
480,1,3,0,2,12.2875,6.08
481,0,3,1,9,46.9,6.08
483,0,3,1,50,8.05,6.08
484,1,3,0,63,9.5875,6.08
486,0,3,0,,25.4667,6.08
489,0,3,1,30,8.05,6.08
490,1,3,1,9,15.9,6.08
491,0,3,1,,19.9667,6.08
492,0,3,1,21,7.25,6.08
495,0,3,1,21,8.05,6.08
496,0,3,1,,14.4583,6.08
498,0,3,1,,15.1,6.08
500,0,3,1,24,7.7958,6.08
501,0,3,1,17,8.6625,6.08
502,0,3,0,21,7.75,6.08
503,0,3,0,,7.6292,6.08
504,0,3,0,37,9.5875,6.08
509,0,3,1,28,22.525,6.08
510,1,3,1,26,56.4958,6.08
511,1,3,1,29,7.75,6.08
512,0,3,1,,8.05,6.08
515,0,3,1,24,7.4958,6.08
518,0,3,1,,24.15,6.08
520,0,3,1,32,7.8958,6.08
522,0,3,1,22,7.8958,6.08
523,0,3,1,,7.225,6.08
525,0,3,1,,7.2292,6.08
526,0,3,1,40.5,7.75,6.08
529,0,3,1,39,7.925,6.08
532,0,3,1,,7.2292,6.08
533,0,3,1,17,7.2292,6.08
534,1,3,0,,22.3583,6.08
535,0,3,0,30,8.6625,6.08
539,0,3,1,,14.5,6.08
542,0,3,0,9,31.275,6.08
543,0,3,0,11,31.275,6.08
549,0,3,1,33,20.525,6.08
553,0,3,1,,7.8292,6.08
554,1,3,1,22,7.225,6.08
555,1,3,0,22,7.775,6.08
560,1,3,0,36,17.4,6.08
561,0,3,1,,7.75,6.08
562,0,3,1,40,7.8958,6.08
564,0,3,1,,8.05,6.08
565,0,3,0,,8.05,6.08
566,0,3,1,24,24.15,6.08
567,0,3,1,19,7.8958,6.08
568,0,3,0,29,21.075,6.08
569,0,3,1,,7.2292,6.08
570,1,3,1,32,7.8542,6.08
574,1,3,0,,7.75,6.08
575,0,3,1,16,8.05,6.08
576,0,3,1,19,14.5,6.08
579,0,3,0,,14.4583,6.08
580,1,3,1,32,7.925,6.08
585,0,3,1,,8.7125,6.08
589,0,3,1,22,8.05,6.08
590,0,3,1,,8.05,6.08
591,0,3,1,35,7.125,6.08
593,0,3,1,47,7.25,6.08
594,0,3,0,,7.75,6.08
596,0,3,1,36,24.15,6.08
598,0,3,1,49,0,6.08
599,0,3,1,,7.225,6.08
602,0,3,1,,7.8958,6.08
604,0,3,1,44,8.05,6.08
606,0,3,1,36,15.55,6.08
607,0,3,1,30,7.8958,6.08
611,0,3,0,39,31.275,6.08
612,0,3,1,,7.05,6.08
613,1,3,0,,15.5,6.08
614,0,3,1,,7.75,6.08
615,0,3,1,35,8.05,6.08
617,0,3,1,34,14.4,6.08
618,0,3,0,26,16.1,6.08
621,0,3,1,27,14.4542,6.08
623,1,3,1,20,15.7417,6.08
624,0,3,1,21,7.8542,6.08
625,0,3,1,21,16.1,6.08
629,0,3,1,26,7.8958,6.08
630,0,3,1,,7.7333,6.08
632,0,3,1,51,7.0542,6.08
635,0,3,0,9,27.9,6.08
637,0,3,1,32,7.925,6.08
639,0,3,0,41,39.6875,6.08
640,0,3,1,,16.1,6.08
641,0,3,1,20,7.8542,6.08
643,0,3,0,2,27.9,6.08
644,1,3,1,,56.4958,6.08
645,1,3,0,0.75,19.2583,6.08
647,0,3,1,19,7.8958,6.08
649,0,3,1,,7.55,6.08
650,1,3,0,23,7.55,6.08
651,0,3,1,,7.8958,6.08
653,0,3,1,21,8.4333,6.08
654,1,3,0,,7.8292,6.08
655,0,3,0,18,6.75,6.08
657,0,3,1,,7.8958,6.08
658,0,3,0,32,15.5,6.08
662,0,3,1,40,7.225,6.08
664,0,3,1,36,7.4958,6.08
665,1,3,1,20,7.925,6.08
668,0,3,1,,7.775,6.08
669,0,3,1,43,8.05,6.08
676,0,3,1,18,7.775,6.08
677,0,3,1,24.5,8.05,6.08
678,1,3,0,18,9.8417,6.08
679,0,3,0,43,46.9,6.08
681,0,3,0,,8.1375,6.08
683,0,3,1,20,9.225,6.08
684,0,3,1,14,46.9,6.08
687,0,3,1,14,39.6875,6.08
688,0,3,1,19,10.1708,6.08
689,0,3,1,18,7.7958,6.08
692,1,3,0,4,13.4167,6.08
693,1,3,1,,56.4958,6.08
694,0,3,1,25,7.225,6.08
697,0,3,1,44,8.05,6.08
698,1,3,0,,7.7333,6.08
703,0,3,0,18,14.4542,6.08
704,0,3,1,25,7.7417,6.08
705,0,3,1,26,7.8542,6.08
710,1,3,1,,15.2458,6.08
714,0,3,1,29,9.4833,6.08
719,0,3,1,,15.5,6.08
720,0,3,1,33,7.775,6.08
722,0,3,1,17,7.0542,6.08
726,0,3,1,20,8.6625,6.08
728,1,3,0,,7.7375,6.08
730,0,3,0,25,7.925,6.08
732,0,3,1,11,18.7875,6.08
736,0,3,1,28.5,16.1,6.08
737,0,3,0,48,34.375,6.08
739,0,3,1,,7.8958,6.08
740,0,3,1,,7.8958,6.08
744,0,3,1,24,16.1,6.08
745,1,3,1,31,7.925,6.08
747,0,3,1,16,20.25,6.08
750,0,3,1,31,7.75,6.08
753,0,3,1,33,9.5,6.08
754,0,3,1,23,7.8958,6.08
757,0,3,1,28,7.7958,6.08
759,0,3,1,34,8.05,6.08
761,0,3,1,,14.5,6.08
762,0,3,1,41,7.125,6.08
763,1,3,1,20,7.2292,6.08
